date,block,beds,psf,area,price
2016-01-01,10,2,1426,839,1196000
2016-01-01,10,3,1440,775,1116000
2016-01-01,10,3,1065,1162,1238000
2016-01-01,2,3,1368,936,1280000
2016-01-01,10,2,1384,839,1161000
2016-01-01,10,3,1396,840,1173000
2016-01-01,12,1,1508,528,796000
2016-01-01,12,1,1522,527,802000
2016-01-01,12,1,1525,528,805000
2016-01-01,12,2,1452,753,1093000
2016-01-01,12,1,1552,420,652000
2016-01-01,12,1,1508,528,796000
2016-01-01,6,5,983,3799,3734000
2016-01-01,2,3,1369,1184,1621000
2016-01-01,12,1,1474,420,619000
2016-01-01,12,1,1502,528,793000
2016-01-01,10,3,1420,840,1193000
2016-01-01,10,2,1396,839,1171000
2016-01-01,10,3,1408,840,1183000
2016-01-01,10,2,1383,839,1160000
2016-01-01,12,1,1483,538,798000
2016-01-01,8,4,1292,1464,1892000
2016-01-01,10,3,1427,775,1106000
2015-12-01,4,2,1446,829,1199000
2015-12-01,10,2,1434,581,833000
2015-12-01,12,2,1412,754,1065000
2015-12-01,12,1,1556,527,820000
2015-12-01,12,1,1522,527,802000
2015-12-01,12,1,1560,420,655000
2015-12-01,2,3,1348,1184,1596000
2015-12-01,6,4,1312,1528,2005000
2015-12-01,10,2,1048,883,925000
2015-12-01,12,1,1502,528,793000
2015-12-01,10,2,1048,883,925000
2015-12-01,12,1,1559,528,823000
2015-12-01,12,1,1516,527,799000
2015-12-01,12,1,1502,420,631000
2015-12-01,12,1,1517,420,637000
2015-12-01,6,3,1353,1227,1660000
2015-12-01,12,2,1421,807,1147000
2015-12-01,12,1,1510,420,634000
2015-12-01,2,3,1338,1152,1541000
2015-12-01,2,3,1378,1184,1631000
2015-12-01,10,1,1169,700,818000
2015-12-01,10,3,1041,1259,1311000
2015-12-01,12,1,1499,527,790000
2015-12-01,10,3,1414,840,1188000
2015-12-01,10,1,1198,592,709000
2015-12-01,4,3,1361,1109,1509000
2015-12-01,12,1,1494,538,804000
2015-12-01,12,1,1524,420,640000
2015-12-01,4,3,1388,1109,1539000
2015-12-01,2,3,1351,936,1265000
2015-12-01,12,2,1444,754,1089000
2015-12-01,12,1,1495,420,628000
2015-12-01,12,2,1441,753,1085000
2015-12-01,12,2,998,1195,1193000
2015-12-01,8,3,1305,1464,1910000
2015-12-01,4,2,1427,829,1183000
2015-12-01,6,3,1355,1152,1561000
2015-12-01,10,2,1461,581,849000
2015-12-01,10,1,1519,441,670000
2015-12-01,12,1,1488,420,625000
2015-12-01,4,3,1375,1108,1524000
2015-12-01,10,1,1526,441,673000
2015-12-01,10,1,1533,441,676000
2015-12-01,12,1,1455,538,783000
2015-12-01,2,3,1405,969,1361000
2015-12-01,10,2,1448,581,841000
2015-12-01,10,1,1512,441,667000
2015-12-01,10,1,1512,441,667000
2015-12-01,10,2,1482,581,861000
2015-12-01,2,3,1415,969,1371000
2015-12-01,10,2,1446,839,1213000
2015-12-01,4,3,1384,1108,1534000
2015-12-01,4,2,1475,829,1223000
2015-12-01,10,2,1368,581,795005
2015-12-01,10,1,1198,592,709000
2015-12-01,12,2,1457,753,1097000
2015-12-01,12,2,1460,754,1101000
2015-12-01,4,3,1379,1109,1529000
2015-11-01,10,1,1506,441,664000
2015-11-01,10,2,1461,581,849000
2015-11-01,12,1,1493,420,627000
2015-11-01,12,2,1416,807,1143000
2015-11-01,8,4,1325,1464,1940000
2015-11-01,2,3,1355,937,1270000
2015-11-01,6,4,1329,1485,1974000
2015-11-01,10,1,1422,441,627000
2015-11-01,10,1,1501,527,791000
2015-11-01,10,1,1504,528,794000
2015-11-01,10,3,1452,775,1125000
2015-11-01,10,1,1478,441,652000
2015-11-01,10,1,1492,441,658000
2015-11-01,10,2,1454,581,845000
2015-11-01,10,1,1526,441,673000
2015-11-01,10,2,1482,581,861000
2015-11-01,10,2,1048,883,925000
2015-11-01,10,3,1108,775,858480
2015-11-01,12,2,1436,753,1081000
2015-11-01,4,3,1394,1108,1544000
2015-11-01,4,3,1379,1109,1529000
2015-11-01,4,3,1406,1109,1559000
2015-11-01,4,2,1485,829,1231000
2015-11-01,6,3,1374,1151,1581000
2015-11-01,6,3,1377,1152,1586000
2015-11-01,10,3,1426,775,1105000
2015-11-01,10,1,1514,484,733000
2015-11-01,10,1,1531,441,675000
2015-11-01,10,3,1379,840,1158000
2015-11-01,10,2,1333,839,1118000
2015-11-01,10,2,1375,581,799000
2015-11-01,10,1,1422,441,627000
2015-11-01,10,2,1375,581,799000
2015-11-01,10,2,1375,581,799000
2015-11-01,10,3,1356,775,1051000
2015-11-01,10,1,1468,528,775000
2015-11-01,10,3,1431,775,1109000
2015-11-01,10,1,1518,485,736000
2015-11-01,10,1,1537,441,678000
2015-11-01,10,3,1385,840,1163000
2015-11-01,10,3,1349,840,1133000
2015-11-01,10,2,1399,581,813000
2015-11-01,10,2,1399,581,813000
2015-11-01,10,1,1451,441,640000
2015-11-01,10,1,1451,441,640000
2015-11-01,10,2,1399,581,813000
2015-11-01,10,2,1399,581,813000
2015-11-01,10,1,1451,441,640000
2015-11-01,10,3,1375,775,1066000
2015-11-01,10,1,1495,527,788000
2015-11-01,10,3,1436,775,1113000
2015-11-01,10,1,1527,484,739000
2015-11-01,10,1,1544,441,681000
2015-11-01,10,3,1390,840,1168000
2015-11-01,10,3,1355,840,1138000
2015-11-01,10,2,1406,581,817000
2015-11-01,10,2,1406,581,817000
2015-11-01,10,1,1458,441,643000
2015-11-01,10,1,1458,441,643000
2015-11-01,10,2,1406,581,817000
2015-11-01,10,2,1406,581,817000
2015-11-01,10,1,1458,441,643000
2015-11-01,10,3,1382,775,1071000
2015-11-01,10,3,1441,775,1117000
